Epoch,Time(sec),Loss_train,AUC_dev,pre,recall,PRC_dev,flipnum,data
55,18.11207441,2.55725497,0.899067884,0.399477807,0.944444444,0.651151044,8,gt_acceptors_achiral_binary_nopu
48,17.34463177,2.648536861,0.899863808,0.505882353,0.796296296,0.667675625,25,gt_acceptors_achiral_binary_nopu
58,16.97956762,2.065133393,0.900500548,0.44,0.882716049,0.663500871,41,gt_acceptors_achiral_binary_nopu
55,16.54135666,2.097119153,0.89575153,0.434131737,0.895061728,0.649350625,83,gt_acceptors_achiral_binary_nopu
56,15.61664879,2.246661067,0.889145354,0.505660377,0.827160494,0.633545384,167,gt_acceptors_achiral_binary_nopu
30,18.10142127,2.696191728,0.898319232,0.737864078,0.417582418,0.703480134,8,gt_acceptors_achiral_binary_nopu
63,17.04676844,2.082229018,0.89673085,0.586206897,0.840659341,0.675739332,25,gt_acceptors_achiral_binary_nopu
57,17.00123049,2.054497272,0.901325813,0.413043478,0.93956044,0.679722028,41,gt_acceptors_achiral_binary_nopu
53,16.02200624,2.175219476,0.89697397,0.545454545,0.89010989,0.671537384,83,gt_acceptors_achiral_binary_nopu
34,15.49622834,2.237299144,0.889186035,0.666666667,0.637362637,0.675834365,167,gt_acceptors_achiral_binary_nopu
29,18.16671558,2.793662786,0.906549542,0.46728972,0.920245399,0.680563241,8,gt_acceptors_achiral_binary_nopu
56,17.34539483,2.681055307,0.906083038,0.482428115,0.926380368,0.677441482,25,gt_acceptors_achiral_binary_nopu
62,17.02737941,2.077134967,0.911091356,0.456193353,0.926380368,0.715098207,41,gt_acceptors_achiral_binary_nopu
50,16.08714923,2.203094423,0.913538302,0.479623824,0.938650307,0.722240542,83,gt_acceptors_achiral_binary_nopu
50,15.45494233,2.228030503,0.906118246,0.52892562,0.785276074,0.682516072,167,gt_acceptors_achiral_binary_nopu
62,18.36502272,2.754151046,0.911927754,0.477124183,0.9125,0.721140614,8,gt_acceptors_achiral_binary_nopu
58,17.49916859,2.707237601,0.90638412,0.587939698,0.73125,0.674884418,25,gt_acceptors_achiral_binary_nopu
45,17.53031246,2.123556376,0.904291845,0.614035088,0.65625,0.669660894,41,gt_acceptors_achiral_binary_nopu
54,15.04278443,2.084247291,0.906035408,0.588235294,0.75,0.672485092,83,gt_acceptors_achiral_binary_nopu
60,13.83266921,2.12792927,0.917721745,0.482428115,0.94375,0.698168259,167,gt_acceptors_achiral_binary_nopu
22,37.84068442,15.84793496,0.819144328,0.311188811,0.802524797,0.463935742,54,phosphatase_chiral_binary_nopu
51,38.65970847,15.26107228,0.814060503,0.327099237,0.77276826,0.433111872,162,phosphatase_chiral_binary_nopu
26,36.41577879,15.21433002,0.835243281,0.386454183,0.699729486,0.498277354,271,phosphatase_chiral_binary_nopu
32,34.45333087,14.22866094,0.814383845,0.282246271,0.870153291,0.443699821,542,phosphatase_chiral_binary_nopu
41,32.40581986,12.51481861,0.815624016,0.30993331,0.796212804,0.443915189,1084,phosphatase_chiral_binary_nopu
14,39.05096141,15.88680625,0.830847993,0.298954704,0.813270142,0.508872942,54,phosphatase_chiral_binary_nopu
16,38.35582733,16.06337625,0.822451207,0.298598635,0.787677725,0.494703835,162,phosphatase_chiral_binary_nopu
20,38.15331004,15.46430516,0.81792672,0.334061135,0.725118483,0.458171382,271,phosphatase_chiral_binary_nopu
57,35.40535501,14.2286098,0.815184636,0.296722455,0.806635071,0.443833093,542,phosphatase_chiral_binary_nopu
40,33.10934513,12.36900586,0.817363079,0.288896277,0.823696682,0.449111033,1084,phosphatase_chiral_binary_nopu
58,38.53194614,15.95972347,0.828522422,0.358874459,0.746174617,0.472328063,54,phosphatase_chiral_binary_nopu
45,38.81526997,15.34929752,0.828318669,0.322706341,0.819981998,0.476613914,162,phosphatase_chiral_binary_nopu
17,37.43816873,15.47836941,0.831262199,0.344418052,0.783078308,0.48368166,271,phosphatase_chiral_binary_nopu
27,35.992226,14.24064672,0.830243587,0.39763568,0.666066607,0.482840898,542,phosphatase_chiral_binary_nopu
55,31.98714672,12.53068513,0.826985181,0.345528455,0.765076508,0.470542329,1084,phosphatase_chiral_binary_nopu
16,39.96788367,16.07568437,0.826864558,0.291585761,0.841269841,0.494001064,54,phosphatase_chiral_binary_nopu
35,38.85230774,15.57696879,0.838727194,0.359802602,0.748832866,0.534367184,162,phosphatase_chiral_binary_nopu
40,38.07933945,15.52620578,0.821154201,0.306671449,0.798319328,0.475288046,271,phosphatase_chiral_binary_nopu
38,36.80464724,14.22736841,0.822485987,0.305814788,0.795518207,0.472596787,542,phosphatase_chiral_binary_nopu
47,32.82524187,12.55498856,0.820666151,0.35004686,0.697478992,0.463236269,1084,phosphatase_chiral_binary_nopu
63,42.82988918,14.98167744,0.926850626,0.539423077,0.90776699,0.792855844,30,esterase_binary_nopu
59,41.62587952,14.53058681,0.932964111,0.601995565,0.878640777,0.805522346,92,esterase_binary_nopu
33,40.89637607,15.26719171,0.899810355,0.508411215,0.8802589,0.722335293,153,esterase_binary_nopu
60,38.99805062,14.44339871,0.889973559,0.495412844,0.873786408,0.677316473,307,esterase_binary_nopu
10,35.57663796,15.5232082,0.772995334,0.229064964,0.987055016,0.534246179,615,esterase_binary_nopu
59,42.98198445,15.26786679,0.913860835,0.43679031,0.939739414,0.766128194,30,esterase_binary_nopu
55,41.80871518,14.68116513,0.919425377,0.495644599,0.926710098,0.779956803,92,esterase_binary_nopu
62,41.76064618,14.64714831,0.918941018,0.613445378,0.832247557,0.800399157,153,esterase_binary_nopu
59,39.35828875,13.57024908,0.917608475,0.69266055,0.737785016,0.795048519,307,esterase_binary_nopu
11,35.34902796,14.72256148,0.794911781,0.462184874,0.627035831,0.534220223,615,esterase_binary_nopu
47,42.59973617,16.10878861,0.929771163,0.759927798,0.672523962,0.808762634,30,esterase_binary_nopu
51,42.42502788,14.8517707,0.931877852,0.567951318,0.89456869,0.821003745,92,esterase_binary_nopu
63,40.74158024,14.57398686,0.937813417,0.625284738,0.876996805,0.821423671,153,esterase_binary_nopu
39,39.27998006,15.63673699,0.870029542,0.66802444,0.523961661,0.67061923,307,esterase_binary_nopu
39,34.45490606,12.09429494,0.910107264,0.574603175,0.867412141,0.75096619,615,esterase_binary_nopu
60,43.27331915,15.69763449,0.934100749,0.529200359,0.95,0.806128215,30,esterase_binary_nopu
32,42.04149265,16.74638999,0.872059758,0.436954798,0.888709677,0.643420544,92,esterase_binary_nopu
11,41.22996899,17.17695653,0.849154759,0.366561514,0.937096774,0.606146181,153,esterase_binary_nopu
57,39.66700834,13.73059401,0.927828676,0.545366795,0.911290323,0.787606379,307,esterase_binary_nopu
48,36.19878514,16.53312516,0.798503465,0.300426894,0.908064516,0.525844639,615,esterase_binary_nopu
47,2.774207307,1.670250177,0.770880192,0.201030928,0.722222222,0.376127559,2,duf_binary_nopu
46,2.706129169,1.777044117,0.765294647,0.165991903,0.759259259,0.351498334,8,duf_binary_nopu
60,2.941764783,1.608551085,0.774216524,0.307017544,0.648148148,0.33650526,13,duf_binary_nopu
62,2.738599547,1.68151778,0.75288649,0.196629213,0.648148148,0.276289667,27,duf_binary_nopu
59,2.903453168,1.906746507,0.727695307,0.193069307,0.722222222,0.265375964,54,duf_binary_nopu
34,2.909413482,1.749275327,0.796384874,0.238095238,0.762711864,0.329728705,2,duf_binary_nopu
53,2.866012641,1.738037944,0.811341028,0.177631579,0.915254237,0.449660718,8,duf_binary_nopu
47,2.78518643,1.90240109,0.820248865,0.213270142,0.762711864,0.428867562,13,duf_binary_nopu
45,2.781922761,1.82061094,0.776853489,0.297297297,0.559322034,0.341423438,27,duf_binary_nopu
44,2.360705727,2.184915841,0.663616512,0.107664234,1,0.164816931,54,duf_binary_nopu
59,2.635870306,1.71317488,0.824932383,0.298076923,0.632653061,0.304782041,2,duf_binary_nopu
53,2.897638171,1.710631847,0.809154987,0.153284672,0.857142857,0.308284249,8,duf_binary_nopu
63,2.96973935,1.660791337,0.788378002,0.177570093,0.775510204,0.303489846,13,duf_binary_nopu
40,2.634438205,1.769622028,0.781616261,0.2,0.795918367,0.223625721,27,duf_binary_nopu
50,3.18075237,1.854846776,0.808622244,0.303370787,0.551020408,0.294105362,54,duf_binary_nopu
50,2.700284869,1.649731338,0.794448758,0.242424242,0.75,0.402765536,2,duf_binary_nopu
63,2.742879019,1.614562571,0.791828416,0.310077519,0.625,0.339235071,8,duf_binary_nopu
53,2.917315037,1.788785458,0.798460145,0.316546763,0.6875,0.381029397,13,duf_binary_nopu
29,3.024178961,1.902395546,0.794384058,0.2,0.84375,0.353009571,27,duf_binary_nopu
56,2.496051558,1.104469895,0.777691511,0.219626168,0.734375,0.35646748,54,duf_binary_nopu
59,4.190927067,1.924744487,0.91088173,0.298850575,0.912280702,0.541296121,3,halogenase_NaBr_binary_nopu
61,5.438594191,2.225646764,0.792233817,0.336734694,0.578947368,0.369844639,9,halogenase_NaBr_binary_nopu
58,4.725094271,2.352935553,0.813256201,0.23699422,0.719298246,0.319557265,16,halogenase_NaBr_binary_nopu
63,3.900550816,1.585162103,0.881881428,0.268041237,0.912280702,0.504147682,32,halogenase_NaBr_binary_nopu
63,4.926451057,1.770831406,0.810080157,0.235897436,0.807017544,0.393417923,64,halogenase_NaBr_binary_nopu
54,4.151367609,2.450799584,0.865258216,0.308056872,0.915492958,0.509674436,3,halogenase_NaBr_binary_nopu
56,4.191624736,2.01590237,0.8971518,0.342391304,0.887323944,0.621923527,9,halogenase_NaBr_binary_nopu
56,4.267792045,1.607378006,0.902942097,0.426573427,0.85915493,0.617241723,16,halogenase_NaBr_binary_nopu
63,4.10207667,1.654955566,0.901846635,0.349462366,0.915492958,0.63145272,32,halogenase_NaBr_binary_nopu
63,5.267961381,1.710280359,0.885915493,0.408,0.718309859,0.608098533,64,halogenase_NaBr_binary_nopu
61,4.987664602,2.171129048,0.82821926,0.25,0.724137931,0.384485967,3,halogenase_NaBr_binary_nopu
62,5.108223855,2.421879351,0.868287778,0.328571429,0.793103448,0.483940412,9,halogenase_NaBr_binary_nopu
63,5.64229857,2.170760423,0.839502495,0.247524752,0.862068966,0.387193794,16,halogenase_NaBr_binary_nopu
62,5.478911381,1.577654302,0.84333805,0.291666667,0.724137931,0.389141676,32,halogenase_NaBr_binary_nopu
60,5.262282889,1.667526186,0.83216653,0.227848101,0.931034483,0.345656525,64,halogenase_NaBr_binary_nopu
59,5.196611953,2.187466621,0.904982782,0.396825397,0.806451613,0.617959262,3,halogenase_NaBr_binary_nopu
62,5.329922685,2.37232846,0.865608968,0.24,0.870967742,0.580697207,9,halogenase_NaBr_binary_nopu
58,8.477486399,2.458367586,0.802164593,0.333333333,0.532258065,0.398630854,16,halogenase_NaBr_binary_nopu
62,3.689111014,1.635567427,0.88600745,0.3671875,0.758064516,0.503493623,32,halogenase_NaBr_binary_nopu
63,4.960622466,1.630363107,0.848900134,0.265536723,0.758064516,0.445623643,64,halogenase_NaBr_binary_nopu
